Major_Group,Title,Deductive_Reasoning,Dynamic_Strength,Explosive_Strength,Fluency_of_Ideas,Inductive_Reasoning,Manual_Dexterity,Mathematical_Reasoning,Memorization,Oral_Comprehension,Oral_Expression,Perceptual_Speed,Reaction_Time,Selective_Attention,Stamina,Static_Strength,Visualization,Written_Comprehension,Written_Expression,ComplexProb,CritThink,Negotiation,Persuasion,SocPercept,TimeMgmt,Troubleshooting,Alabama,California,Louisiana,Massachusetts
19,Agricultural Technicians,3.38,2,1.62,3,3.25,2.88,3,2,3.75,3.75,3,2.38,3,2.12,2.62,2.75,3.5,3.38,1,2,2,1,1,1,2,34120,56040,36100, 
19,Animal Scientists,4,1.25,1.38,3.75,4,1.12,3.25,2.75,4,4,3,1.88,3.12,1.5,2,2.75,4,4,2,2,3,2,2,2,2, , , , 
19,Anthropologists and Archeologists,4.12,1.38,1.25,3.75,4,1.75,2.88,2.88,4.25,4.38,2.88,1,3.12,1.5,1.62,3,4.38,4.38,2,2,2,2,2,1,1,69400,79420,55070,105190
19,Astronomers,4.12,1,1,3.75,4.12,1.25,4,2.88,4.12,4.12,3.12,1,3.5,1,1,2.88,4.12,4.12,2,2,2,2,2,1,1, ,141660, ,156870
19,Atmospheric and Space Scientists,4,1.38,1,3.25,4.12,1.25,3.5,2.88,4.12,4.25,2.88,1,2.88,1,1,2.62,4.12,3.88,2,2,2,2,2,1,1,87450,121620,105980, 
19,Biochemists and Biophysicists,4,1.12,1,3.75,4.25,2.25,4,3,4.12,4.12,3.12,1.75,3,1,1.75,3.25,4.25,4.25,2,2,2,2,1,1,2,71960,130030, ,123450
19,Bioinformatics Scientists,4,1,1,3.88,4,1.75,3.88,3.12,4.12,4,3.12,1,3.38,1,1,2.88,4.25,4.25,2,2,2,2,2,2,2,82580,121000,72550,110270
19,Biological Technicians,3.62,2.12,1.38,3,3.88,2.88,3,2.5,3.88,3.75,3,2,3.38,2,2.25,3,3.62,3.62,2,2,1,1,1,1,3,46080,70930,55980,67580
19,Chemical Technicians,3.62,2,1.25,3,3.75,3.12,3.12,2.75,3.75,3.62,3,2.12,3.12,1.88,2.12,3.12,4,3.88,2,2,2,2,1,2,3,56840,61820,84300,68750
19,Chemists,4,1.38,1.25,3.12,4,2.75,3.75,2.75,4,4,3.12,1.88,3,1.62,1.75,3,4,4,2,2,1,1,1,1,3,100510,105500,115280,125580
19,Climate Change Policy Analysts,4,1,1,3.12,4,1,3,2.62,4,4,2.25,1,3,1,1,2.62,4.25,4,2,2,3,3,2,2,1,76210,107420,79070,99340
19,Clinical and Counseling Psychologists,4,1,1,3.75,4,1,2.25,2.75,4.38,4.62,2.5,1,3.25,1,1,2,4.5,4.25,2,2,3,3,2,2,1,110180,124720,88950,102440
19,Clinical Neuropsychologists,4.38,1.12,1.12,3.25,4.38,1.88,3,3,4.75,4.5,3,1.12,3.38,1.12,1.25,2.5,4.62,4.25,2,2,3,3,2,2,1,126770,130940,114240,123810
19,Conservation Scientists,3.75,2.25,2.25,3.25,3.5,2.25,3.25,2.62,4.12,3.88,3,2,2.88,2.25,2.5,2.88,4,3.62,2,2,3,3,2,2,2,82270,87840,64740,80300
19,Economists,4,1,1,3.88,4.12,1,4.12,2.88,4,4,2.38,1,2.75,1,1,2.38,4.12,4,2,2,1,2,1,1,1,114850,125570,110960,142140
19,"Environmental Science and Protection Technicians, Including Health",3.88,2.12,1.5,3,3.62,2.88,3,2.5,4,4,3,2.12,3,2,2.12,3,4,3.88,2,2,2,2,1,1,2,47580,53610,58180,58640
19,Epidemiologists,4.12,1,1,4,4.38,1.12,3.62,2.88,4.38,4.25,3,1,3.12,1,1,3,4.38,4.25,2,2,2,3,2,2,1,72130,112580,64620,113860
19,Food Science Technicians,3.62,1.38,1.12,2.75,3.62,2.5,3,2,3.75,3.75,3.12,2.25,3.12,1.88,1.38,2.62,3.75,3.75,2,2,1,1,1,1,2, ,55100, ,59590
19,Food Scientists and Technologists,4,1.62,1.5,3.38,4,2,3.12,2.75,4.12,3.88,3,2.12,3,1.62,1.62,2.88,4,3.88,2,2,3,2,2,1,2,93030,91820,63890,123760
19,Forensic Science Technicians,3.88,2,1.5,3.25,4,2.88,2.75,2.75,4,4,3.25,1.88,3,2.12,2.38,3,4,4,2,2,1,2,2,1,2,61120,99390, ,80590
19,Forest and Conservation Technicians,3.62,2.5,1.62,2.88,3.62,3.12,2.75,2.5,3.75,3.75,2.88,2.75,3.12,2.88,3,3.25,3.62,3.12,1,2,1,2,2,2,2,55300,63140,62140,53960
19,Foresters,3.88,2.25,2,3,3.88,2,2.88,2.5,4,3.88,2.88,2.25,3,2.12,2.62,3.12,3.88,3.75,2,2,3,3,2,2,2,69870,101700,82400,68660
19,Geographers,4,1.5,1,3.25,4.12,1.25,3,2.75,4,4,3.12,1,2.88,1,1,3,4.12,4.12,2,2,2,2,1,1,1, , , , 
19,"Geological Technicians, Except Hydrologic Technicians",3.25,1.88,1.75,2.88,3.38,2.5,3,2.38,3.75,3.38,3,2.25,3,1.88,2.25,2.62,3.88,3.38,2,2,1,2,1,2,2,40970,78300,55880, 
19,"Geoscientists, Except Hydrologists and Geographers",4,1.75,1.12,3.38,4.12,1.75,3.75,2.38,4,4,3,1.88,3,1.75,1.75,3,4.12,4,2,2,2,2,1,1,1,82110,119100,90420,106380
19,Historians,3.5,1.5,1,3.12,3.88,1.88,2,2.25,4,4,2.12,1,3,1.5,1,2,4.75,4.25,2,2,1,2,2,1,1,75880,88730,74520, 
19,Hydrologists,3.88,1.88,1.5,3.5,3.88,2.12,3.88,2.88,4,4,3.25,1.25,2.88,2.12,2.12,3,4,4,2,2,2,2,1,1,2,90830,119540,103140,129280
19,Industrial-Organizational Psychologists,4.12,1,1,3.88,4.12,1,3.88,2.62,4.25,4.38,2.75,1,3.12,1,1,2.62,4.38,4.25,2,2,3,3,2,2,1, ,137540, , 
19,Materials Scientists,4,1,1,3.38,4,1.62,3.25,2.5,4,4,3,1.75,2.88,1,1,3,4,4,2,2,2,3,1,1,2, ,130220, ,122600
19,"Medical Scientists, Except Epidemiologists",4,1.25,1,3.25,4.12,2.25,3.38,3,4,4.12,3,1,3.12,1,1,2.5,4,4.12,2,2,2,2,1,2,1,76800,134880, ,129060
19,Microbiologists,4,1.5,1.38,3.75,4.12,2.62,2.88,2.75,4,4,3,2.12,3.5,1.5,2,3,4.25,4.12,2,2,2,2,1,1,2,65500,115910, ,119850
19,Nuclear Monitoring Technicians,4,2,1,2.88,4,2.75,3.12,2.62,4,4,3.62,2.25,3.75,2.12,2.12,2.88,3.88,3.75,2,2,2,2,1,1,3,111210, , , 
19,Occupational Health and Safety Specialists,4,1.5,1.5,3.12,4,2,3.12,2.75,4,4,3.12,2,3.12,1.88,2,3,3.88,3.88,2,2,2,3,2,1,2,78620,105410,83840,99830
19,Occupational Health and Safety Technicians,3.88,1.88,1.88,3,3.88,1.88,2.75,2.5,3.88,3.88,3,1.88,3,2,2,2.25,3.88,3.75,2,2,3,3,2,1,2,57640,67020,56420,68520
19,Physicists,4.12,1,1,4.12,4.12,1,4.75,2.88,4.12,4.12,3,1,3.25,1,1,3.62,4.25,4,2,2,2,3,2,2,2,130730,187720, ,153660
19,Political Scientists,3.75,1,1,3.12,4,1,3,2.88,4.12,4.12,2.12,1,2.88,1,1,2.12,4.62,4,2,2,2,2,2,1,1, ,132240, ,129460
19,Quality Control Analysts,3.62,2,1.25,2.88,3.38,2.88,3.12,2.75,3.88,3.75,3.12,2,3.12,2,2.12,2.75,4,3.88,2,2,1,1,1,1,3,57510,75780,50830,75540
19,Range Managers,3.75,2,1,3.25,3.75,2.12,3,2.25,3.88,4,2.62,1.75,3,2,2,2.88,4,3.88,2,2,3,2,2,1,1,82270,87840,64740,80300
19,Remote Sensing Scientists and Technologists,4.25,1.12,1,3.62,4.25,1.88,3.88,2.62,4,4,3,1.38,3,1,1.12,3.12,4,4,2,2,2,2,1,1,1,130920,142070,93120,149300
19,School Psychologists,4.12,1,1,3.12,4,1,2.88,2.75,4.38,4.38,2.88,1,3,1,1,2.5,4.12,4,2,2,3,3,2,2,1,72130,117630,71450,100140
19,Social Science Research Assistants,3.5,1.38,1,3,3.25,1.25,3.12,2.38,4,4,2.62,1.12,3.12,1,1,2.62,4,3.75,2,2,1,1,1,1,1, ,62740,53760,59560
19,Sociologists,4,1,1,3.25,4.12,1,3,2.5,4.25,4.25,2.12,1,2.75,1,1,2,4.12,4.12,2,2,2,2,2,1,1, ,118570, ,117290
19,Soil and Plant Scientists,4,2,1.25,3.5,4,2,3.12,2.88,4,4,3,1.62,3,2.12,2.12,2.88,4,4,2,2,2,2,1,1,1,78900,91660,85210,64810
19,Survey Researchers,4,1,1,3,4.12,1.5,4,2.88,4,4,2.75,1,3,1,1,2.12,4.12,4.12,2,2,2,2,1,1,1, ,86950, , 
19,Transportation Planners,4,1,1,4,4,1.12,3.12,2.88,4,4,2.88,1,3,1,1,3.88,4,4,2,2,3,2,1,2,1,103540,105150,88430,112550
19,Urban and Regional Planners,3.88,1,1,3.62,3.88,1,3,2.25,4.12,4.12,2.62,1,2.88,1,1,3.12,4,4,2,2,3,3,2,2,1,71750,111520,77860,93240
19,Zoologists and Wildlife Biologists,4,2,2,3.38,4,2,3,2.25,4,4,3,2,3.25,2,2,2.88,4,4,2,2,3,3,2,2,1,66520,91460,87260,98390
23,"Administrative Law Judges, Adjudicators, and Hearing Officers",4.12,1.12,1,2.88,4.25,1.75,2.25,2.62,4.25,4,2.62,1,3.12,1,1,1.75,4.25,4.12,2,2,3,2,2,2,1,152420, ,130740,129980
23,"Arbitrators, Mediators, and Conciliators",4,1,1,3.12,4,1,2.12,2,4.12,4.12,2,1,3.25,1,1,2,4.25,4.25,2,2,3,3,2,1,1,75490, ,56930, 
23,"Judges, Magistrate Judges, and Magistrates",4.62,1.12,1,3,4.25,1,2.12,2.75,4.62,4.25,2.75,1.12,3,1,1.12,2,4.38,4.12,2,2,3,2,2,2,1,71280, ,96220,204240
23,Judicial Law Clerks,3.75,1.25,1,3,3.88,1.38,2.5,2.62,4.25,4.12,2.5,1,3,1,1,1.88,4.5,4.25,2,2,2,2,1,2,1, ,72390,62570, 
23,Lawyers,4.12,1,1,3.75,4,1.12,2.62,2.88,4.62,4.88,2.62,1,3.25,1,1,2.5,4.62,4.5,2,2,3,3,2,2,1,139470,254170,128020,218340
23,Paralegals and Legal Assistants,3.25,1.12,1,2.75,3.25,1.88,2,2.62,3.88,3.88,2.88,1,2.88,1,1,2,4,3.88,1,2,2,2,1,1,1,49800,76920,52380,78540
23,"Title Examiners, Abstractors, and Searchers",3.5,1.5,1,2.25,3.25,1.62,2.12,2,4,4,2.5,1,2.75,1,1,2.12,4,3.75,2,2,1,1,1,2,1,54980,80830,47850,76920
25,Adapted Physical Education Specialists,3.88,2.12,2.12,3.38,3.38,3,2,2.75,4,4.12,2.75,1.88,3.12,3,3,2.38,3.88,3.88,2,2,2,3,2,2,2,49330,89200,58760,75910
25,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",3.5,1,1,3.25,3.25,1,2.88,2.75,3.88,4.25,2.62,1,3,1,1,2,4,4,2,2,3,2,2,2,1,46820,97480,60300,63030
25,"Agricultural Sciences Teachers, Postsecondary",4,1.75,1.38,3.38,4,2,3,3,4.12,4.5,2.12,1.75,2.62,1.75,1.88,2.12,4.12,4,2,2,2,2,2,2,1,78930,105760, ,98090
25,"Anthropology and Archeology Teachers, Postsecondary",3.88,1.25,1,3.38,3.88,1.5,2.88,3,4.12,4.5,2.25,1,3,1,1,2.12,4.12,4.12,2,2,3,2,2,2,1,78540,123540, ,112330
25,"Architecture Teachers, Postsecondary",4,1,1,3.5,3.88,1,3.12,2.88,4,4.25,2.38,1.25,2.88,1,1,3.5,4,4,2,2,3,2,2,2,1, ,130200,144810,105130
25,Archivists,3.62,2,1.38,3,3.5,2,2.12,2.62,3.75,3.88,2.38,1,3,1.75,2,2.38,4,3.88,2,2,2,2,1,1,1,63170,69140,42460,75040
25,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",3.62,1,1,3.12,3.75,1,2,2.75,4,4.12,2.12,1,2.88,1,1,2,4,4.12,2,2,2,3,2,2,1,74660,126200, ,107520
25,"Art, Drama, and Music Teachers, Postsecondary",3.5,1.38,1.25,3.5,3.62,2.12,2,2.5,4,4.25,2.12,1.38,2.88,1.25,1.62,3,4.12,4.12,2,2,2,2,2,2,1,67900,126870,102360,102090
25,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",4,1.12,1,3,4,1,3.38,3,4,4.75,2.12,1,2.75,1,1.25,2.12,4,4,2,2,2,2,2,1,1,85280,143790, ,119820
25,"Biological Science Teachers, Postsecondary",4,1,1,3.38,4,1.75,3.12,2.75,4.12,4.62,2.25,1,2.88,1,1,2,4.12,4.12,2,2,2,2,2,2,1,89720,137690,84790,108000
25,"Business Teachers, Postsecondary",3.88,1,1,3,3.88,1,3.12,2.88,4,4.62,2.12,1,3,1,1,2.12,4.12,4.12,2,2,2,2,2,2,1,96490,131980,116460,120900
25,"Career/Technical Education Teachers, Middle School",3.88,1.88,1.38,3.25,3.75,2,2.75,2.75,4,4.12,3,1.88,3.12,1.88,1.88,2.75,4,3.88,2,2,2,2,2,1,2,53890,63410,51800,78000
25,"Career/Technical Education Teachers, Postsecondary",3.62,2,1.38,2.88,3.25,2.5,2.12,2.88,4,4,2.12,2,3,2,2,2.62,3.88,3.88,2,2,3,2,2,1,2,57890,89810,57240,77990
25,"Career/Technical Education Teachers, Secondary School",3.75,1.88,1.38,3.25,3.75,2.75,3,3,4.12,4.12,2.88,1.88,3.25,2,2.12,2.88,4,4,2,2,3,3,2,2,2,76810,94190,61070,89940
25,"Chemistry Teachers, Postsecondary",4,1,1,3.12,3.88,1.38,3,3,4,4.12,2.25,1,3.12,1,1,2.38,4,4.12,2,2,1,2,2,1,2,86880,145410,89200,113920
25,"Communications Teachers, Postsecondary",3.75,1,1,3,3.75,1.12,2.25,2.88,4.12,4.12,2.12,1,3,1,1,2,4,4,2,2,3,2,2,2,1,66270,149930,85060,90520
25,"Computer Science Teachers, Postsecondary",3.88,1,1,3.12,3.88,1.38,3,2.88,4.12,4.12,2.75,1,3.12,1,1,2.38,4,4,2,2,3,2,2,2,1,99330,151670,100740,122190
25,"Criminal Justice and Law Enforcement Teachers, Postsecondary",3.75,1,1,3,3.88,1,2,2.75,4,4.12,2,1,2.88,1,1,2,4,4,2,2,2,2,2,2,1,68850,146040,89850,92950
25,Curators,3.88,1.62,1.12,3.38,3.75,2,2.88,2.75,4,4,2.75,1,3.12,1.75,2.12,3.25,4,3.88,2,2,3,2,2,2,1,63820,86440,64430,80300
25,"Economics Teachers, Postsecondary",3.88,1,1,3.12,3.75,1,3.38,3,4,4.12,2.5,1,2.88,1,1,2.5,4,4,2,2,1,2,1,1,1,130060,151300, ,157350
25,"Education Teachers, Postsecondary",3.88,1.12,1,3.12,3.88,1.75,2.12,2.62,4.12,4.38,2.12,1,2.88,1,1,2.12,4.12,4.12,2,2,2,2,2,2,1,68990,100600,98060,90280
25,"Elementary School Teachers, Except Special Education",3.88,1.38,1.38,3.88,4,1.5,3,2.88,4,4.62,2.62,1,3.12,2.12,2,2.62,3.88,3.88,2,2,3,3,2,2,1,56220,93150,55940,84050
25,"Engineering Teachers, Postsecondary",3.88,1,1,3.25,3.88,1,3.75,2.88,4,4.38,2.62,1.12,3,1,1,3.12,4.12,3.88,2,2,2,2,1,2,1,109740,135620,123320,128380
25,"English Language and Literature Teachers, Postsecondary",3.88,1,1,3.25,3.88,1,2,2.75,4.25,4.62,2,1,2.88,1,1,2,4.88,4.25,2,2,3,2,2,2,1,66000,141370,74810,103410
25,"Environmental Science Teachers, Postsecondary",4,1,1,3.12,4,1,3.12,2.75,4,4.38,2.25,1,2.88,1,1,2.12,4.12,4,2,2,2,2,1,1,1, ,124540,75960,109130
25,"Family and Consumer Sciences Teachers, Postsecondary",3.62,1,1,3,3.5,1.12,2.75,2.75,4,4.12,2.25,1,2.75,1,1,2.25,4.12,4,2,2,1,2,2,1,1, ,129200,76990, 
25,Farm and Home Management Educators,4,1.75,1.5,3.5,4,2,3,3.12,4.12,4.5,2.88,1.88,3,1.75,1.75,3,4.12,4,2,2,3,3,2,2,1,62280,89940, , 
25,"Foreign Language and Literature Teachers, Postsecondary",3.38,1,1,2.88,3.62,1,2,2.88,4.12,4.25,2.12,1,3,1,1,2,4,4,2,2,2,2,2,1,1,67480,126260, ,106900
25,"Forestry and Conservation Science Teachers, Postsecondary",3.75,1.38,1.38,3.12,3.75,1,3.25,2.75,4.12,4.75,2.38,1.62,2.88,1.38,1.62,2,4.25,4.12,2,2,3,2,2,2,1,79950, , , 
25,"Geography Teachers, Postsecondary",3.75,1,1,3.12,3.75,1,2.62,2.5,4,4.25,2.12,1,2.88,1,1,2.25,4,4.12,2,2,2,2,2,2,1, ,160400, ,100670
25,"Health Specialties Teachers, Postsecondary",3.88,1.75,1.38,3.12,3.75,1.62,2.88,2.88,4,4.75,2.12,1.5,3,1.62,1.75,2.12,4.12,4,2,2,3,2,2,2,1,99650,134530,111130,162370
25,"History Teachers, Postsecondary",3.88,1.25,1,3,3.88,1,2,2.88,4,4.75,2.12,1,3,1,1,2,4.12,4.38,2,2,3,2,2,2,1,64800,130670,78350,108880
25,Instructional Coordinators,3.88,1,1,3.62,3.75,1.25,3,3.12,4.12,4.25,2.62,1,3,1.38,1,3,4.38,4.25,2,2,3,3,2,2,1,74630,101460,66120,87900
